,id,label
0,test_000000,0
1,test_000001,1
2,test_000002,0
3,test_000003,0
4,test_000004,0
5,test_000005,1
6,test_000006,1
7,test_000007,1
8,test_000008,1
9,test_000009,1
10,test_000010,0
11,test_000011,0
12,test_000012,0
13,test_000013,0
14,test_000014,1
15,test_000015,1
16,test_000016,0
17,test_000017,0
18,test_000018,0
19,test_000019,0
20,test_000020,0
21,test_000021,1
22,test_000022,0
23,test_000023,0
24,test_000024,1
25,test_000025,1
26,test_000026,0
27,test_000027,1
28,test_000028,0
29,test_000029,1
30,test_000030,1
31,test_000031,0
32,test_000032,0
33,test_000033,1
34,test_000034,1
35,test_000035,0
36,test_000036,1
37,test_000037,1
38,test_000038,1
39,test_000039,1
40,test_000040,1
41,test_000041,0
42,test_000042,0
43,test_000043,1
44,test_000044,1
45,test_000045,0
46,test_000046,0
47,test_000047,1
48,test_000048,1
49,test_000049,0
50,test_000050,0
51,test_000051,0
52,test_000052,1
53,test_000053,0
54,test_000054,1
55,test_000055,1
56,test_000056,0
57,test_000057,1
58,test_000058,0
59,test_000059,1
60,test_000060,0
61,test_000061,0
62,test_000062,0
63,test_000063,0
64,test_000064,1
65,test_000065,1
66,test_000066,0
67,test_000067,0
68,test_000068,1
69,test_000069,1
70,test_000070,1
71,test_000071,1
72,test_000072,0
73,test_000073,1
74,test_000074,0
75,test_000075,1
76,test_000076,1
77,test_000077,0
78,test_000078,1
79,test_000079,0
80,test_000080,1
81,test_000081,1
82,test_000082,0
83,test_000083,0
84,test_000084,0
85,test_000085,0
86,test_000086,0
87,test_000087,0
88,test_000088,1
89,test_000089,1
90,test_000090,0
91,test_000091,0
92,test_000092,1
93,test_000093,1
94,test_000094,0
95,test_000095,0
96,test_000096,1
97,test_000097,0
98,test_000098,0
99,test_000099,0
100,test_000100,1
101,test_000101,1
102,test_000102,1
103,test_000103,0
104,test_000104,1
105,test_000105,0
106,test_000106,1
107,test_000107,0
108,test_000108,0
109,test_000109,1
110,test_000110,0
111,test_000111,0
